subject_area,subject_collapsed
Development,Development
Education,Development
Energy,Development
Health,Development
Economic,Economic
Environment,Environment
Governance,Governance
Gender,Human Rights
Human Rights,Human Rights
Press Freedom,Human Rights
Security,Security
Social,Social
Finance,Trade & Finance
Technology,Trade & Finance
Trade,Trade & Finance
